Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2025-0101,Republic Act No. 10175 (Phishing),Brgy. San Francisco,2025-09-12,2025-09-13,Closed,John Villanueva,-,-,Maria Santos,-,-,"Sent a fake BPI email claiming the complainant's account was locked to steal OTP.",-,-,-,-,2025-09-12 10:00,-,admin,2025-09-13 09:00,-,-,-,14.0783,121.3150,
CYBER-2025-0102,Republic Act No. 10175 (Online Fraud),Brgy. San Jose,2025-09-28,2025-09-29,Closed,Mark Dizon,-,-,Jose Reyes,-,-,"Fake Facebook Marketplace seller selling a nonexistent iPhone 14.",-,-,-,-,2025-09-28 14:30,-,admin,2025-09-29 08:15,-,-,-,14.0650,121.3200,
CYBER-2025-0103,Republic Act No. 10175 (Identity Theft),Brgy. San Roque,2025-10-05,2025-10-06,Under Investigation,Unknown,-,-,Anna Bautista,-,-,"Created a clone Facebook profile to ask the complainant's relatives for GCash.",-,-,-,-,2025-10-05 08:00,-,admin,2025-10-06 10:00,-,-,-,14.0710,121.3260,
CYBER-2025-0104,Republic Act No. 10175 (Sextortion),Brgy. Del Remedio,2025-10-15,2025-10-16,Closed,Carlo Gonzales,-,-,Miguel Garcia,-,-,"Threatened to release private photos unless 10000 PHP was deposited via Maya.",-,-,-,-,2025-10-15 22:00,-,admin,2025-10-16 09:30,-,-,-,14.0810,121.3320,
CYBER-2025-0105,Republic Act No. 10175 (Cyber Harassment),Brgy. San Rafael,2025-10-22,2025-10-23,Open,Angelo Castro,-,-,Liza Suarez,-,-,"Repeatedly sending death threats through dummy Instagram accounts.",-,-,-,-,2025-10-22 18:45,-,admin,2025-10-23 11:00,-,-,-,14.0900,121.3100,
CYBER-2025-0106,Republic Act No. 10175 (Online Fraud),Brgy. San Gabriel,2025-11-02,2025-11-03,Under Investigation,Julius Mendoza,-,-,Fernando Perez,-,-,"Investment scam promising 50% returns in 7 days via Telegram group.",-,-,-,-,2025-11-02 09:00,-,admin,2025-11-03 14:00,-,-,-,14.0805,121.3450,
CYBER-2025-0107,Republic Act No. 10175 (Phishing),Brgy. San Nicolas,2025-11-18,2025-11-19,Open,Unknown,-,-,Diana Gomez,-,-,"Sent an SMS with a malicious link pretending to be a Shopee delivery update.",-,-,-,-,2025-11-18 13:20,-,admin,2025-11-19 10:15,-,-,-,14.0550,121.3180,
CYBER-2025-0108,Republic Act No. 10175 (Hacking),Brgy. San Francisco,2025-11-25,2025-11-26,Closed,Kevin Cruz,-,-,Rafael Domingo,-,-,"Gained unauthorized access to a local bakery's Facebook page to run scam ads.",-,-,-,-,2025-11-25 16:00,-,admin,2025-11-26 08:45,-,-,-,14.0790,121.3160,
CYBER-2025-0109,Republic Act No. 10175 (Online Libel),Brgy. San Jose,2025-12-05,2025-12-06,Under Investigation,Sofia Bernardo,-,-,Carla Aquino,-,-,"Posted malicious and false allegations on a public San Pablo community group.",-,-,-,-,2025-12-05 20:30,-,admin,2025-12-06 09:00,-,-,-,14.0665,121.3210,
CYBER-2025-0110,Republic Act No. 10175 (Identity Theft),Brgy. San Roque,2025-12-12,2025-12-13,Open,Unknown,-,-,Roberto Cruz,-,-,"Used complainant's stolen ID to apply for a fast cash loan online.",-,-,-,-,2025-12-12 11:15,-,admin,2025-12-13 13:00,-,-,-,14.0720,121.3275,
