Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2026-0041,Republic Act No. 10175 (Phishing),Brgy. San Francisco,2026-01-12,2026-01-13,Closed,John Villanueva,,,Maria Santos,,,"Sent a fake BPI email claiming the complainant account was locked to steal OTP.",,,,Phishing,2026-01-12 10:00,,admin,2026-01-13 09:00,,,Email headers attached,14.0783,121.3150,
CYBER-2026-0042,Republic Act No. 10175 (Online Fraud),Brgy. San Jose,2026-01-15,2026-01-16,Closed,Mark Dizon,,,Jose Reyes,,,"Fake Facebook Marketplace seller selling a nonexistent iPhone.",,,,Online Fraud,2026-01-15 14:30,,admin,2026-01-16 08:15,,,,14.0650,121.3200,
CYBER-2026-0043,Republic Act No. 10175 (Identity Theft),Brgy. San Lucas 1,2026-01-20,2026-01-21,Closed,UNIDENTIFIED,Unknown,,Ana Cruz,,,"Cloned Facebook account asking friends for GCash transfers.",,,,Identity Theft,2026-01-20 09:00,,admin,2026-01-21 10:00,,,Screenshots attached,14.0842,121.3274,
CYBER-2026-0044,Republic Act No. 10175 (Cyber Harassment),Brgy. Concepcion,2026-01-25,2026-01-26,Closed,Pedro Garcia,,,Liza Perez,,,"Repeatedly sent death threats via dummy Twitter accounts.",,,,Cyber Harassment,2026-01-25 22:15,,admin,2026-01-26 13:00,,,,14.0895,121.3412,
CYBER-2026-0045,Republic Act No. 10175 (Sextortion),Brgy. San Francisco,2026-02-05,2026-02-06,Closed,UNIDENTIFIED,Unknown,,David Luna,,,"Threatening to release private photos unless 50000 PHP is sent.",,,,Sextortion,2026-02-05 01:30,,admin,2026-02-06 09:45,,,,14.0790,121.3160,
CYBER-2026-0046,Republic Act No. 10175 (Online Fraud),Brgy. San Jose,2026-02-10,2026-02-11,Under Investigation,Sarah Lim,,,Carlos Velez,,,"Investment scam promising 300 percent returns via Telegram.",,,,Online Fraud,2026-02-10 11:00,,admin,2026-02-11 10:30,,,Telegram chat export,14.0665,121.3215,
CYBER-2026-0047,Republic Act No. 10175 (Online Libel),Brgy. San Lucas 1,2026-02-14,2026-02-15,Closed,Reynaldo Bautista,,,Gina Ramos,,,"Posted defamatory statements on a community Facebook page.",,,,Online Libel,2026-02-14 16:45,,admin,2026-02-15 08:30,,,,14.0850,121.3280,
CYBER-2026-0048,Republic Act No. 10175 (Hacking),Brgy. Concepcion,2026-02-18,2026-02-19,Under Investigation,UNIDENTIFIED,Unknown,,Tech Solutions Inc.,,,"Ransomware attack encrypting local business servers.",,,,Hacking,2026-02-18 03:00,,admin,2026-02-19 09:00,,,Server logs attached,14.0905,121.3425,
CYBER-2026-0049,Republic Act No. 10175 (Phishing),Brgy. San Francisco,2026-02-28,2026-03-01,Under Investigation,UNIDENTIFIED,Unknown,,Elena Gomez,,,"Fake GCash SMS link claiming account restriction.",,,,Phishing,2026-02-28 13:20,,admin,2026-03-01 11:15,,,,14.0785,121.3155,
CYBER-2026-0050,Republic Act No. 10175 (Online Fraud),Brgy. San Francisco,2026-03-02,2026-03-03,Open,UNIDENTIFIED,Unknown,,Roberto Chua,,,"Task scam offering part-time jobs requiring initial deposits.",,,,Online Fraud,2026-03-02 09:30,,admin,2026-03-03 08:00,,,,14.0788,121.3152,
