Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2025-2000,Republic Act No. 10175 (Identity Theft),Brgy. I-A,04/04/2025,12/04/2025,Under Investigation,Grace Garcia,"Blk 12 Lot 27, Brgy. I-A, San Pablo City",9173198718,Ricardo Tolentino,"46 Brgy. I-A, San Pablo City",9184888148,Fake Shopee seller requiring advanced GCash payment.,Atty. Santos,,IV-01-INV-25-1614,Identity Theft,04/04/2025 12:00,,admin,12/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2001,Republic Act No. 10175 (Sextortion),Brgy. I-B,10/07/2025,12/07/2025,Under Investigation,Sarah Ocampo,"Blk 3 Lot 35, Brgy. I-B, San Pablo City",9174505580,Grace Santos,"91 Brgy. I-B, San Pablo City",9189945452,Ransomware attack on a small business POS system.,Atty. Garcia,,IV-01-INV-25-4566,Sextortion,10/07/2025 17:00,,admin,12/07/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2003,Republic Act No. 10175 (Sextortion),Brgy. II-A,10/01/2025,20/01/2025,Closed,Michelle Fernandez,"Blk 12 Lot 46, Brgy. II-A, San Pablo City",9172657030,Christian Cruz,"17 Brgy. II-A, San Pablo City",9184882232,Threatening to release intimate photos if not paid (Sextortion).,Atty. Domingo,,IV-01-INV-25-1515,Sextortion,10/01/2025 12:00,,P/Cpl. Bautista,20/01/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2004,Republic Act No. 10175 (Phishing),Brgy. II-B,17/07/2025,22/07/2025,Under Investigation,Sofia Villanueva,"Blk 18 Lot 23, Brgy. II-B, San Pablo City",9171767609,Ricardo Mendoza,"15 Brgy. II-B, San Pablo City",9189333105,Catfishing on Facebook to extort money.,Atty. Santos,,IV-01-INV-25-7417,Phishing,17/07/2025 14:00,10000,P/Cpl. Dizon,22/07/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2005,Republic Act No. 10175 (Identity Theft),Brgy. II-C,11/08/2025,21/08/2025,Under Investigation,Jose Dizon,"Blk 19 Lot 19, Brgy. II-C, San Pablo City",9177730554,John Villanueva,"74 Brgy. II-C, San Pablo City",9187744854,Identity theft to apply for quick online loans (OLA).,Atty. Cruz,,IV-01-INV-25-4123,Identity Theft,11/08/2025 12:00,,SPO1 Cruz,21/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2006,Republic Act No. 10175 (Identity Theft),Brgy. II-D,05/08/2025,15/08/2025,Under Investigation,Michelle Perez,"Blk 9 Lot 17, Brgy. II-D, San Pablo City",9178137089,Michael Perez,"31 Brgy. II-D, San Pablo City",9182738334,Ransomware attack on a small business POS system.,Atty. Bautista,,IV-01-INV-25-2170,Identity Theft,05/08/2025 11:00,,P/Cpl. Dizon,15/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2007,Republic Act No. 10175 (Sextortion),Brgy. II-E,10/07/2025,14/07/2025,Closed,Michelle Villanueva,"Blk 11 Lot 48, Brgy. II-E, San Pablo City",9179314962,Maria Navarro,"4 Brgy. II-E, San Pablo City",9181354631,Identity theft to apply for quick online loans (OLA).,Atty. Villanueva,,IV-01-INV-25-8181,Sextortion,10/07/2025 11:00,10000,P/Cpl. Santos,14/07/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2008,Republic Act No. 10175 (Sextortion),Brgy. II-F,12/04/2025,22/04/2025,Open,John Reyes,"Blk 10 Lot 21, Brgy. II-F, San Pablo City",9175642809,Patricia Santos,"88 Brgy. II-F, San Pablo City",9184445542,Phishing email disguised as a Netflix subscription update.,Atty. Lim,,IV-01-INV-25-2268,Sextortion,12/04/2025 14:00,,SPO1 Castro,22/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2009,Republic Act No. 10175 (Phishing),Brgy. III-A,03/12/2025,04/12/2025,Under Investigation,John Villanueva,"Blk 10 Lot 46, Brgy. III-A, San Pablo City",9178113296,Rafael Perez,"71 Brgy. III-A, San Pablo City",9184250776,Created a dummy Facebook account to post defamatory statements.,Atty. Mendoza,,IV-01-INV-25-3913,Phishing,03/12/2025 16:00,,admin,04/12/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2010,Republic Act No. 10175 (Identity Theft),Brgy. III-B,24/05/2025,25/05/2025,Under Investigation,Christian Tolentino,"Blk 1 Lot 8, Brgy. III-B, San Pablo City",9172715939,Christian Santos,"48 Brgy. III-B, San Pablo City",9189143629,Catfishing on Facebook to extort money.,Atty. Villanueva,,IV-01-INV-25-3113,Identity Theft,24/05/2025 12:00,50000,P/Cpl. Garcia,25/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
