Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2025-0012,Online Libel,Brgy. VI-A,2025-04-01,2025-04-02,Open,,,,"Maria Santos","San Pablo City, Laguna","0917XXXXXXX","Defamatory post on Facebook","Fiscal Ana Lopez","Branch 1","IV-01-INV-25D-0012","RA 10175 Sec 4(c)(4) - Online Libel","2025-04-01 09:00","10000","SPO1 Reyes","2025-04-02 10:00",,,,14.0736,121.3234,
CYBER-2025-0013,Sextortion,Brgy. V-B,2025-05-10,2025-05-11,Under Investigation,"(Unknown)","","","Juana Gomez","San Pablo City, Laguna","0918XXXXXXX","Threatening to release private photos","Atty. Maria Reyes","Branch 3","IV-01-INV-25E-0015","RA 9995 (Anti-Photo/Video Voyeurism)","2025-05-10 14:30","40000","P/Cpl. Cruz","2025-05-11 11:00",,,,14.0736,121.3249,
CYBER-2025-0014,Online Fraud,Brgy. III-D,2025-06-15,2025-06-16,Open,"Shopee Seller (Alias)","","","Pedro Penduko","San Pablo City, Laguna","pedro.p@email.com","Non-delivery of paid item","Atty. Juan Cruz","","IV-01-INV-25F-0001","Estafa (Art. 315 RPC)","2025-06-15 12:00","20000","SPO1 Reyes","2025-06-16 15:00",,,,14.0702,121.3313,
CYBER-2025-0015,Phishing,Brgy. IV-A,2025-07-01,2025-07-01,Closed,,,,"Mark Lito","San Pablo City, Laguna","0922XXXXXXX","Fake BPI email link","Atty. Maria Reyes","Branch 2","IV-01-INV-25G-0020","RA 10175 Sec 4(b)(3)","2025-07-01 11:15","","P/Cpl. Gomez","2025-07-01 13:00","","",,14.0723,121.3292,
CYBER-2025-0016,Identity Theft,Brgy. II-A,2025-07-05,2025-07-07,Under Investigation,"Jane Doe (Alias)","","","Carlos Dizon","San Pablo City, Laguna","carlos@email.com","Used complainant's name for loan","Fiscal Ana Lopez","Branch 1","IV-01-INV-25G-0031","RA 10175 Sec 4(b)(3)","2025-07-05 18:00","50000","SPO1 Reyes","2025-07-07 09:30",,,,14.0632,121.3196,
CYBER-2025-0017,Cyber Harassment,Brgy. VI-B,2025-08-10,2025-08-11,Open,,,,"Angela Reyes","San Pablo City, Laguna","0919XXXXXXX","Unwanted repeated calls/texts","Atty. Pedro Jose","","IV-01-INV-25H-0005","RA 10175 Sec 4(c)(3)","2025-08-10 20:00","","P/Cpl. Cruz","2025-08-11 16:00",,,,14.0785,121.3233,
CYBER-2025-0018,Others,Brgy. I-A,2025-08-12,2025-08-12,Open,,,,"Sitel Corp.","San Pablo City, Laguna","legal@sitel.ph","Data Breach (unauthorized access)","Fiscal Ana Lopez","Branch 3","IV-01-INV-25H-0010","RA 10173 (Data Privacy Act)","2025-08-12 00:00","","SPO1 Reyes","2025-08-12 10:00",,,,14.0733,121.3163,
CYBER-2025-0019,Online Libel,Brgy. VII-B,2025-09-01,2025-09-05,Under Investigation,"(Unknown FB User)","","","Miguel Castro","San Pablo City, Laguna","miguel.c@email.com","Malicious public post","Atty. Juan Cruz","Branch 2","IV-01-INV-25I-0001","RA 10175 Sec 4(c)(4)","2025-09-01 13:00","10000","P/Cpl. Gomez","2025-09-05 14:00",,,,14.0697,121.3239,
CYBER-2025-0020,Online Fraud,Brgy. Santo Angel,2025-10-20,2025-10-22,Open,,,,"Lito Manalo","San Pablo City, Laguna","0933XXXXXXX","GCash scam 'Palit-Peso'","Atty. Maria Reyes","","IV-01-INV-25J-0045","Estafa (Art. 315 RPC)","2025-10-20 17:00","2000","SPO1 Reyes","2025-10-22 11:30",,,,14.1019,121.3623,
CYBER-2025-0021,Phishing,Brgy. VI-A,2025-11-01,2025-11-03,Under Investigation,,,,"Emily Tan","San Pablo City, Laguna","emily.tan@email.com","Fake Netflix subscription renewal","Atty. Pedro Jose","Branch 1","IV-01-INV-25K-0002","RA 10175 Sec 4(b)(3)","2025-11-01 19:00","","P/Cpl. Cruz","2025-11-03 10:00",,,,14.0736,121.3234,
